,beta1,beta2,beta3,beta4,beta5
PackYearsC_rcs1,-0.005824776,-0.006021493,-0.006456516,-0.006635822,-0.006623756
PackYearsC_rcs2,0.014948318,0.015083736,0.015595695,0.014958785,0.014190175
SmokeFormer5PlusC_cat,0.084966909,0.073479925,0.069136162,0.057948901,0.056553235
SmokeFormer0to5C_cat,0.086319161,0.076188265,0.071502656,0.042886046,0.019042972
SmokeCurrentC_cat,0.368674095,0.360318165,0.334808471,0.275980716,0.228525755
DrinksLastWeekC_rcs1,-0.034347303,-0.036353132,-0.033048666,-0.027356555,-0.019526461
DrinksLastWeekC_rcs2,0.155966528,0.16569202,0.147737882,0.122631121,0.086416935
FormerDrinkerC_cat,0.223750664,0.223676789,0.209096164,0.167651175,0.128841687
FruitVegC_rcs1,-0.094677006,-0.091547849,-0.082585859,-0.080057266,-0.076167125
FruitVegC_rcs2,0.105720454,0.104112245,0.098713614,0.090120103,0.08483057
PotatoC_rcs1,0.062117874,0.005144941,0.030853273,0.057032444,0.063947213
PotatoC_rcs2,0.21749913,0.271066169,0.219874213,0.17844427,0.144320106
JuiceC_rcs1,0.046367816,0.033803963,0.03231551,0.069184582,0.055832253
JuiceC_rcs2,0.057781313,0.066571278,0.063182404,0.037870818,0.044681091
PhysicalActivityC_rcs1,-0.178656059,-0.18047323,-0.172927728,-0.15117333,-0.092333855
PhysicalActivityC_rcs2,0.152624535,0.153999866,0.146929697,0.127738308,0.078575126
