Variable,beta1,beta2,beta3,beta4,beta5
PackYears_C_rcs1,-0.005824776,-0.006021085,-0.006456052,-0.00663628,-0.006624365
PackYears_C_rcs2,0.014948318,0.01508289,0.015594854,0.014959041,0.014190284
smokeSimp_cat4_2_C,0.084966909,0.073578042,0.069237553,0.058049015,0.056508198
smokeSimp_cat4_3_C,0.086319161,0.076195276,0.071511124,0.042938556,0.019027277
smokeSimp_cat4_4_C,0.368674095,0.36079699,0.335291451,0.276314119,0.22849711
FruitVeg_C_rcs1,-0.094677006,-0.091559126,-0.082596161,-0.08007559,-0.076185701
FruitVeg_C_rcs2,0.105720454,0.104114061,0.098715753,0.090126389,0.084841733
Potato_C_rcs1,0.062117874,0.005350259,0.031070815,0.057292863,0.063946867
Potato_C_rcs2,0.21749913,0.271011122,0.219814838,0.17837387,0.14431284
Juice_C_rcs1,0.046367816,0.033952433,0.032460226,0.069310442,0.055871787
Juice_C_rcs2,0.057781313,0.066544686,0.063154126,0.03785162,0.044655335
PhysicalActivity_C_rcs1,-0.178656059,-0.180584786,-0.173037986,-0.15125782,-0.09234533
PhysicalActivity_C_rcs2,0.152624535,0.15396908,0.146898563,0.127723034,0.078594988
AgeCXPackYearsC_int,-3.91E-05,-2.91E-05,-2.69E-05,1.62E-05,4.02E-05
AgeCXSmokeFormer5PlusC_int,-0.003777409,-0.003634051,-0.003825338,-0.003938652,-0.004718402
AgeCXSmokeFormer0to5C_int,-0.004024386,-0.00410752,-0.003844067,-0.00301869,-0.00251099
AgeCXSmokeCurrentC_int,-0.001670044,-0.001989099,-0.002141134,-0.000666388,-0.002701714
AgeCXFruitVegC_int,-0.000166516,-0.00025411,-0.000314237,-0.000176325,0.000102936
AgeCXJuiceC_int,-0.006963192,-0.006767435,-0.006520984,-0.00730788,-0.007484132
AgeCXPotatoC_int,-0.006809327,-0.006842216,-0.006834073,-0.008028566,-0.006592077
AgeCXPhysicalActivityC_int,0.001197632,0.001239512,0.001186457,0.000812015,0.000780762
