Covariate,Beta
AgeC_rcs1,0.187761068
AgeC_rcs2,-0.217650805
AgeC_rcs3,0.508558798
AgeC_rcs4,-0.629083588
EthnNonWhiteC_cat,-0.285927841
MultilingualC_cat,0.06660212
StressNotVeryC_cat,-0.011475124
StressABitC_cat,0.122988924
StressQuiteC_cat,0.226566025
StressExtreamlyC_cat,0.241430647
SRHealthPoorC_cat,0.032454228
SRHealthFairC_cat,0.173588064
SRHealthGoodC_cat,0.15465262
SRHealthVGoodC_cat,0.103639855
PackYearsC_rcs1,-0.007538736
PackYearsC_rcs2,0.015230383
SmokeFormer5PlusC_cat,0.042471004
SmokeFormer0to5C_cat,-0.048161163
SmokeCurrentC_cat,0.094669893
DrinksLastWeekC_rcs1,-0.015677555
DrinksLastWeekC_rcs2,0.058555464
FormerDrinkerC_cat,0.127400898
FruitVegC_rcs1,-0.06418691
FruitVegC_rcs2,0.073403255
PotatoC_rcs1,-0.030036024
PotatoC_rcs2,0.279881395
JuiceC_rcs1,0.020219098
JuiceC_rcs2,0.054192985
PhysicalActivityC_rcs1,-0.055754756
PhysicalActivityC_rcs2,0.038475324
COPDC_cat,-0.093301802
HeartDisC_cat,-0.139571534
StrokeC_cat,0.437790265
DiabetesC_cat,0.145147156
MoodC_cat,0.187227029
HypertensionC_cat,-0.082890932
BMIC_rcs1,-0.019794479
BMIC_rcs2,0.009216159
AgeCXPackYearsC_int,2.90E-05
AgeCXSmokeFormer5PlusC_int,-0.007018043
AgeCXSmokeFormer0to5C_int,-0.005431465
AgeCXSmokeCurrentC_int,-0.008428458
AgeCXDrinksLastWeekC_int,0.000612868
AgeCXFormerDrinkerC_int,6.37E-05
AgeCXFruitVegC_int,0.001340961
AgeCXJuiceC_int,-0.010448182
AgeCXPotatoC_int,-0.01276507
AgeCXPhysicalActivityC_int,0.001926513
AgeCXCOPDC_int,-0.011006979
AgeCXHeartDisC_int,-0.001031514
AgeCXStrokeC_int,-0.005902235
AgeCXDiabetesC_int,-0.00962036
AgeCXMoodC_int,-0.011586927
AgeCXHypertensionC_int,-0.008981298
AgeCXBMIC_int,0.000453647
NeedHelp1C_cat,0.450023168
NeedHelp2C_cat,0.202616363
NeedHelp3C_cat,0.333814021
NeedHelp4C_cat,0.47548025
NeedHelp5C_cat,0.815997542
NeedHelp6C_cat,0.238077031
AgeCXNeedHelp1C_int,-0.020141545
AgeCXNeedHelp2C_int,-0.008129332
AgeCXNeedHelp3C_int,-0.011319569
AgeCXNeedHelp4C_int,-0.035552059
AgeCXNeedHelp5C_int,-0.036987918
AgeCXNeedHelp6C_int,-0.030839803
