Tool,Sex,Name,displayName,displayValue,order,variableUse,Recommended,variableType,usageType,Units,Mean,betacoefficent,ValidCat (for _xc),PctlLow,PctlUpp,UserMin,UserMax,LowValue,HighValue,OutlierTreatmentMethod,InvalidValueTreatment,MissingValueReplacement,MissingValueTreatment,Recommended,SmokingReference
Risk algorithm,"Male, Female",Variable,,,,,,,Variable Type,,Mean,,Valid Categories,2.5ile,97.5ile,User Min,User Max,"if x<lowValue
then x = lowValue","if x>highValue
then x = highValue",Treatment of outlier values,Treatment of invalid values,"If Missing
replace
with",How the missing value was derived,Whether this input is recommended for the engine,
CVDPoRTFull,Female,Age ,,Age,,,,,Continuous,Years,50.06,,NA,22,84,20,85,,,,returnInvalid,,,,
CVDPoRTFull,Female,PackYears ,,Pack years,,,,,Continuous,Pack years,8.17,,NA,0,51.25,0,51.25,0,51.25,asExtremeValues,asMissing,8.17,asMean,,
CVDPoRTFull,Female,SmokeNever ,,Never smoker,,,,,Reference,NA,0.38,,NA,NA,NA,NA,NA,,,,asMissing,0.38,asMean,,
CVDPoRTFull,Female,SmokeFormer5plus_cat,,Former smoker: quit 5 or more years,,,,,Categorical,NA,0.31,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.31,asMean,,
CVDPoRTFull,Female,SmokeFormer0to5_cat,,Former smoker: quit less than 5 years,,,,,Categorical,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTFull,Female,SmokeCurrent_cat,,Current smoker,,,,,Categorical,NA,0.23,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.23,asMean,,
CVDPoRTFull,Female,DrinksLastWeek ,,Number of drinks in past week,,,,,Continuous,Drinks/Week,2.22,,NA,0,14,0,14,,,,asMissing,2.22,asMean,,
CVDPoRTFull,Female,FormerDrinkerNo,,Not a former drinker,,,,,Reference,NA,0.84,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.84,asMean,,
CVDPoRTFull,Female,FormerDrinker_cat,,Former drinker,,,,,Categorical,NA,0.16,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.16,asMean,,
CVDPoRTFull,Female,FruitVeg ,,Average daily consumption of fruit & vegetables,,,,,Continuous,Times/Day,3.97,,NA,0.7,9.9,0.7,9.9,,,,asMissing,3.97,asMean,,
CVDPoRTFull,Female,Potato ,,Average daily consumption of potatoes,,,,,Continuous,Times/Day,0.37,,NA,0,1,0,1,,,,asMissing,0.37,asMean,,
CVDPoRTFull,Female,Juice ,,Average daily consumption of juice,,,,,Continuous,Times/Day,0.82,,NA,0,3,0,3,,,,asMissing,0.82,asMean,,
CVDPoRTFull,Female,PhysicalActivity ,,Average daily leisure time energy expenditure in METs,,,,,Continuous,METs/day,1.87,,NA,0,6.9,0,6.9,,,,asMissing,1.87,asMean,,
CVDPoRTFull,Female,BelongVStong_cat,,Sense of belonging in community- very strong,,,,,Categorical,NA,0.20,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.20,asMean,,
CVDPoRTFull,Female,BelongSStong_cat,,Sense of belonging in community - somewhat strong,,,,,Categorical,NA,0.47,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.47,asMean,,
CVDPoRTFull,Female,BelongSWeak_cat,,Sense of belonging in community - somewhat weak,,,,,Categorical,NA,0.23,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.23,asMean,,
CVDPoRTFull,Female,BelongVWeak_cat,,Sense of belonging in community - very weak,,,,,Categorical,NA,0.09,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.09,asMean,,
CVDPoRTFull,Female,BMI,,Body mass index = weight in kg divided by height in m2,,,,,Continuous,kg/m2,25.71,,NA,18.16,38.87,18.16,38.87,18.16,38.87,asExtremeValues,asMissing,25.71,asMean,,
CVDPoRTFull,Female,DiabetesNo ,,Does not have diabetes,,,,,Reference,NA,0.95,,NA,NA,NA,NA,NA,,,,asMissing,0.95,asMean,,
CVDPoRTFull,Female,Diabetes_cat,,Has diabetes,,,,,Categorical,NA,0.05,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.05,asMean,,
CVDPoRTFull,Female,HypertensionNo ,,Does not have hypertension,,,,,Reference,NA,0.80,,NA,NA,NA,NA,NA,,,,asMissing,0.80,asMean,,
CVDPoRTFull,Female,Hypertension_cat,,Has hypertension,,,,,Categorical,NA,0.20,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.20,asMean,,
CVDPoRTFull,Female,PercentTimeCanada ,,Percent of lifetime lived in Canada,,,,,Continuous,%,90.89,,NA,19.61,100,19.61,100,,,,asMissing,90.89,asMean,,
CVDPoRTFull,Female,ImmigrantNo ,,Non-immigrant,,,,,Reference,NA,0.79,,NA,NA,NA,NA,NA,,,,asMissing,0.79,asMean,,
CVDPoRTFull,Female,Immigrant_cat,,Immigrant,,,,,Categorical,NA,0.21,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.21,asMean,,
CVDPoRTFull,Female,EthnicityWhite ,,Ethnicity - white,,,,,Reference,NA,0.89,,NA,NA,NA,NA,NA,,,,asMissing,0.89,asMean,,
CVDPoRTFull,Female,EthnicityNotWhite_cat,,Ethnicity - other than white,,,,,Categorical,NA,0.11,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.11,asMean,,
CVDPoRTFull,Female,EduNoHSGrad2 ,,Less than high school education,,,,,Reference,NA,0.19,,NA,NA,NA,NA,NA,,,,asMissing,0.19,asMean,,
CVDPoRTFull,Female,EduHSGrad2_cat,,High school graduate,,,,,Categorical,NA,0.20,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.20,asMean,,
CVDPoRTFull,Female,EduSomePS2_cat,,Some post-secondary education,,,,,Categorical,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTFull,Female,EduPSGrad2_cat,,Post-secondary school graduate,,,,,Categorical,NA,0.53,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.53,asMean,,
CVDPoRTFull,Female,DepInd ,,Neighbourhood deprivation index,,,,,Continuous,NA,1.97,,NA,1,3,1,3,,,,asMissing,1.97,asMean,,
CVDPoRTFull,Female,StressLow ,,"Self perceived stress - not at all, not very or a bit stressful",,,,,Reference,NA,0.35,,NA,NA,NA,NA,NA,,,,asMissing,0.35,asMean,,
CVDPoRTFull,Female,Stress_cat,,Self perceived stress - quite a bit or extremely stressful,,,,,Categorical,NA,0.65,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.65,asMean,,
CVDPoRTFull,Female,SurveyCycle2_cat,,Canadian Community Health Survey cycle 2.1,,,,,Categorical,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
