Variable,Minimum,Maximum,Mean,Std Dev,Median,Q1,Q3,Knot1,Knot2,Knot3,Knot4,Knot5
DHHGAGE_cont_C_rcs1,20,102,52.1712945,18.3327804,52,37,67,-28.1712945,-14.1712945,-0.1712945,12.8287055,29.8287055
smokeSimp_cat4_1_C,0,1,0.210621,0.4077518,0,0,0,,,,,
smokeSimp_cat4_2_C,0,1,0.0949346,0.2931261,0,0,0,,,,,
smokeSimp_cat4_3_C,0,1,0.2988136,0.4577404,0,0,1,,,,,
packYears_C_rcs1,0,78,8.0116006,14.8427604,0.007,0,9.75,-8.011601,-8.004601,20.738399,,
formerDrinker_cat2_1_C,0,1,0.1567167,0.3635354,0,0,0,,,,,
ALWDWKY_C_rcs1,0,24,2.1419706,3.9369174,0,0,3,-2.1419706,-1.1419706,-0.1419706,4.8580294,
dietScore2_C_rcs1,-18.8680064,20.6964115,9.12E-13,2.9528452,-0.2196557,-1.9428973,1.7520618,-3.3821214,-0.2196557,3.7547511,,
PACDEE_C_rcs1,0,12.354,1.8600395,1.9071799,1.3,0.5,2.7,-1.7600395,-0.1600395,2.6399605,,
HWTGBMI_C_rcs1,8.89,47.152205,25.9326726,5.410167,24.89,22.1,28.8594039,-5.852673,-1.042673,7.085145,,
EDUDR04_cat4_3_C,0,1,0.1912154,0.3932604,0,0,0,,,,,
EDUDR04_cat4_2_C,0,1,0.1977786,0.3983264,0,0,0,,,,,
EDUDR04_cat4_1_C,0,1,0.0640225,0.2447942,0,0,0,,,,,
EDUDR04_cat4_0_C,0,1,0.5469835,0.4977903,1,0,1,,,,,
depInd_cat3_2_C,0,1,0.1660356,0.3721145,0,0,0,,,,,
depInd_cat3_1_C,0,1,0.6447579,0.4785891,1,0,1,,,,,
depInd_cat3_0_C,0,1,0.1892065,0.3916747,0,0,0,,,,,
immigPct_C_rcs1,0,1,0.909287,0.212652,1,1,1,-0.30928663,-0.02039774,0.07960226,,
SDCGCGT_cat2_0_C,0,1,0.7334,0.3109629,1,1,1,,,,,
SDCGCGT_cat2_1_C,0,1,0.2342,0.1998877,0,0,0,,,,,
CCC_101_cat2_1_C,0,1,0.0725525,0.2594019,0,0,0,,,,,
CCC_071_cat2_1_C,0,1,0.2434684,0.4291777,0,0,0,,,,,
CCC_121_cat2_1_C,0,1,0.0745824,0.2627178,0,0,0,,,,,
CCC_151_cat2_1_C,0,1,0.0174282,0.130861,0,0,0,,,,,
CCC_091_cat2_1_C,0,1,0.070228,0.2555323,0,0,0,,,,,
CCC_280_cat2_1_C,0,1,0.1035382,0.3046622,0,0,0,,,,,
CCC_131_cat2_1_C,0,1,0.0298708,0.1702318,0,0,0,,,,,
dementia_cat2_1_C,0,1,0.0049644,0.0702841,0,0,0,,,,,
epilepsy_cat2_1_C,0,1,0.006763,0.0819594,0,0,0,,,,,
Fruit_cont,0,6,1.5109891,1.1644858,1,0.7,2,,,,,
Salad_cont,0,3,0.5987021,0.4762747,0.4,0.3,1,,,,,
Carrot_cont,0,2,0.372664,0.3596374,0.3,0.1,0.4,,,,,
Veg_cont,0,6,1.4486937,1.0905973,1,0.9,2,,,,,
Juice_cont,0,5,0.7572805,0.8218263,0.6,0.1,1,,,,,
Potato_minus,0,1,0.0060909,0.0775569,0,0,0,,,,,
Potato_add,0,1,0.3617127,0.3037303,0.3,0.1,0.6,,,,,
