Variable,Minimum,Maximum,Mean,Std Dev,Median,Q1,Q3,Knot1,Knot2,Knot3,Knot4,Knot5
DHHGAGE_cont_C_rcs1,20,102,50.630622,17.4269644,50,37,64,-27.630622,-12.630622,-0.630622,12.369378,29.369378
smokeSimp_C_cat4_1,0,1,0.2577804,0.4374153,0,0,1,,,,,
smokeSimp_C_cat4_2,0,1,0.1137479,0.3175068,0,0,0,,,,,
smokeSimp_C_cat4_3,0,1,0.3740262,0.4838736,0,0,1,,,,,
packYears_C_rcs1,0,112.5,13.792315,20.7612188,2.85,0,21.5,-13.79231,-10.94231,28.70769,,
formerDrinker_C_cat2_1,0,1,0.115705,0.3198729,0,0,0,,,,,
ALWDWKY_C_rcs1,0,50,5.5459356,8.4206955,2,0,8,-5.545936,-3.545936,9.454064,,
dietScore2_C_rcs1,-16.7556827,18.3717701,9.18E-13,2.962602,-0.2540077,-1.9596945,1.7051545,-3.353604,0.2540077,3.7574356,,
PACDEE_C_rcs1,0,16,2.2110374,2.2393318,1.6,0.6,3.1,-2.1110374,-0.3110374,3.0889626,,
HWTGBMI_C_rcs1,8.54,43.7,26.9017723,4.3901986,26.35853,24.09,29.27,-4.9317723,-0.5432423,5.5982277,,
EDUDR04_cat4_3,0,1,0.186614,0.3896038,0,0,0,,,,,
EDUDR04_cat4_2,0,1,0.1810128,0.3850313,0,0,0,,,,,
EDUDR04_cat4_1,0,1,0.0662993,0.2488061,0,0,0,,,,,
EDUDR04_cat4_0,0,1,0.5660739,0.4956182,1,0,1,,,,,
DepIndHighC_cat,0,1,0.1560717,0.3629257,0,0,0,,,,,
DepIndModC_cat,0,1,0.641747,0.4794901,1,0,1,,,,,
DepIndLowC_cat,0,1,0.2021812,0.4016292,0,0,0,,,,,
SDCGCGT_cat2_0,0,1,0.8875269,0.3159497,1,1,1,,,,,
SDCGCGT_cat2_1,0,1,0.041693,0.1998879,0,0,0,,,,,
CCC_101_cat2_1,0,1,0.0896308,0.285654,0,0,0,,,,,
CCC_071_cat2_1,0,1,0.2232337,0.4164164,0,0,0,,,,,
CCC_121_cat2_1,0,1,0.0928756,0.2902599,0,0,0,,,,,
CCC_151_cat2_1,0,1,0.0193142,0.1376278,0,0,0,,,,,
CCC_091,0,1,0.052496,0.2230266,0,0,0,,,,,
CCC_280_cat2_1,0,1,0.0629128,0.2428077,0,0,0,,,,,
CCC_131_cat2_1,0,1,0.0316624,0.1751009,0,0,0,,,,,
dementia_cat2_1,0,1,0.0067342,0.0817861,0,0,0,,,,,
epilepsy_cat2_1,0,1,0.0059874,0.0771468,0,0,0,,,,,
Fruit_cont,0,6,1.1443171,1.0552868,1,0.4,2,,,,,
Salad_cont,0,2,0.4916125,0.414286,0.4,0.1,0.7,,,,,
Carrot_cont,0,2,0.3165909,0.3317559,0.3,0.1,0.4,,,,,
Veg_cont,0,6,1.0870556,0.9109867,1,0.4,1,,,,,
Juice_cont,0,6,0.866571,0.912188,1,0.1,1,,,,,
Potato_minus,0,1,0.0100872,0.0995831,0,0,0,,,,,
Potato_add,0,1,0.4034392,0.3135315,0.3,0.1,0.6,,,,,
