Variable,Minimum,Maximum,Mean,Std Dev,Median,Q1,Q3,Knot1,Knot2,Knot3,Knot4,Knot5
AgeC_rcs1,20,102,52.1712945,18.3327804,52,37,67,-28.1712945,-14.1712945,-0.1712945,12.8287055,29.8287055
SmokeCurrentC_cat,0,1,0.210621,0.4077518,0,0,0,,,,,
SmokeFormer0to5C_cat,0,1,0.0949346,0.2931261,0,0,0,,,,,
SmokeFormer5PlusC_cat,0,1,0.2988136,0.4577404,0,0,1,,,,,
PackYearsC_rcs1,0,78,8.5522579,14.6897018,2.5,0,10,-8.552258,-6.052258,20.197742,,
FormerDrinkerC_cat,0,1,0.1567167,0.3635354,0,0,0,,,,,
DrinksLastWeekC_rcs1,0,24,2.1419706,3.9369174,0,0,3,-2.1419706,-1.1419706,-0.1419706,4.8580294,
DietScore2C_rcs1,-18.8680064,20.6964115,9.12E-13,2.9528452,-0.2196557,-1.9428973,1.7520618,-3.3821214,-0.2196557,3.7547511,,
PhysicalActivityC_rcs1,0,12.354,1.8600395,1.9071799,1.3,0.5,2.7,-1.7600395,-0.1600395,2.6399605,,
BMIC_rcs1,8.89,47.152205,25.9326726,5.410167,24.89,22.1,28.8594039,-5.852673,-1.042673,7.085145,,
EduNoHSGrad2C_cat,0,1,0.1912154,0.3932604,0,0,0,,,,,
EduHSGrad2C_cat,0,1,0.1977786,0.3983264,0,0,0,,,,,
EduSomePS2C_cat,0,1,0.0640225,0.2447942,0,0,0,,,,,
EduPSGrad2C_cat,0,1,0.5469835,0.4977903,1,0,1,,,,,
DepIndHighC_cat,0,1,0.1660356,0.3721145,0,0,0,,,,,
DepIndModC_cat,0,1,0.6447579,0.4785891,1,0,1,,,,,
DepIndLowC_cat,0,1,0.1892065,0.3916747,0,0,0,,,,,
EthnWhiteC_cat,0,1,0.8915394,0.3109629,1,1,1,,,,,
EthnBlackC_cat,0,1,0.0140624,0.117749,0,0,0,,,,,
EthnChineseC_cat,0,1,0.0140414,0.1176622,0,0,0,,,,,
EthnJapanC_cat,0,1,0.0135471,0.1156014,0,0,0,,,,,
EthnSAsianC_cat,0,1,0.0251167,0.1564805,0,0,0,,,,,
EthnOtherC_cat,0,1,0.041693,0.1998877,0,0,0,,,,,
DiabetesC_cat,0,1,0.0725525,0.2594019,0,0,0,,,,,
HypertensionC_cat,0,1,0.2434684,0.4291777,0,0,0,,,,,
HeartDisC_cat,0,1,0.0745824,0.2627178,0,0,0,,,,,
StrokeC_cat,0,1,0.0174282,0.130861,0,0,0,,,,,
COPDC_cat,0,1,0.070228,0.2555323,0,0,0,,,,,
MoodC_cat,0,1,0.1035382,0.3046622,0,0,0,,,,,
ActiveCancerC_cat,0,1,0.0298708,0.1702318,0,0,0,,,,,
DementiaC_cat,0,1,0.0049644,0.0702841,0,0,0,,,,,
EpilepsyC_cat,0,1,0.006763,0.0819594,0,0,0,,,,,
Fruit_cont,,,1.5109891,1.1644858,,,,,,,,
Salad_cont,,,0.5987021,0.4762747,,,,,,,,
Carrot_cont,,,0.372664,0.3596374,,,,,,,,
Veg_cont,,,1.4486937,1.0905973,,,,,,,,
Juice_cont,,,0.7572805,0.8218263,,,,,,,,
Potato_minus,,,0.0060909,0.0775569,,,,,,,,
Potato_add,,,0.3617127,0.3037303,,,,,,,,
