Variable,Minimum,Maximum,Mean,Std Dev,Median,Q1,Q3,Knot1,Knot2,Knot3,Knot4,Knot5
AgeC,20,102,50.630622,17.4269644,50,37,64,-27.630622,-12.630622,-0.630622,12.369378,29.369378
SmokeCurrent,0,1,0.2577804,0.4374153,0,0,1,,,,,
SmokeFormer0to5,0,1,0.1137479,0.3175068,0,0,0,,,,,
SmokeFormer5plus,0,1,0.3740262,0.4838736,0,0,1,,,,,
PackYearsC,0,112.5,14.4032829,20.5462514,5,0,21.75,-14.403283,-9.403283,28.096717,,
FormerDrinker_imp1,0,1,0.115705,0.3198729,0,0,0,,,,,
DrinksLastWeekC,0,50,5.5459356,8.4206955,2,0,8,-5.545936,-3.545936,9.454064,,
fruit_cont,0,6,1.1443171,1.0552868,1,0.4,2,,,,,
salad_cont,0,2,0.4916125,0.414286,0.4,0.1,0.7,,,,,
carrot_cont,0,2,0.3165909,0.3317559,0.3,0.1,0.4,,,,,
otherveg_cont,0,6,1.0870556,0.9109867,1,0.4,1,,,,,
juice_cont,0,6,0.866571,0.912188,1,0.1,1,,,,,
potato_cont,0,2,0.4135264,0.3467769,0.3,0.1,0.6,,,,,
POSITPART,-4.4185774,18.7094577,4.02E-13,2.6033481,-0.4000833,-1.850748,1.3651451,,,,,
POTATOMINUS,0,1,0.0100872,0.0995831,0,0,0,,,,,
POTATOTOADD,0,1,0.4034392,0.3135315,0.3,0.1,0.6,,,,,
DietScore2C,-16.7556827,18.3717701,9.18E-13,2.962602,-0.2540077,-1.9596945,1.7051545,-3.353604,-0.2540077,3.7574356,,
PhysicalActivityC,0,16,2.2110374,2.2393318,1.6,0.6,3.1,-2.1110374,-0.3110374,3.0889626,,
BMIC,8.54,43.7,26.9017723,4.3901986,26.35853,24.09,29.27,-4.9317723,-0.5432423,5.5982277,,
EduNoHSGrad2,0,1,0.186614,0.3896038,0,0,0,,,,,
EduHSGrad2,0,1,0.1810128,0.3850313,0,0,0,,,,,
EduSomePS2,0,1,0.0662993,0.2488061,0,0,0,,,,,
EduPSGrad2,0,1,0.5660739,0.4956182,1,0,1,,,,,
DepIndHigh,0,1,0.1560717,0.3629257,0,0,0,,,,,
DepIndMod,0,1,0.641747,0.4794901,1,0,1,,,,,
DepIndLow,0,1,0.2021812,0.4016292,0,0,0,,,,,
Immigrant,0,1,0.2097395,0.4071253,0,0,0,,,,,
ImmigrantPercentC,0,1,0.9090354,0.2122723,1,1,1,-0.31181313,-0.01812626,0.08021196,,
EthnWhite,0,1,0.8875269,0.3159497,1,1,1,,,,,
EthnBlack,0,1,0.012992,0.1132405,0,0,0,,,,,
EthnChinese,0,1,0.0159793,0.125396,0,0,0,,,,,
EthnJapan,0,1,0.012374,0.1105487,0,0,0,,,,,
EthnSAsian,0,1,0.0294349,0.1690231,0,0,0,,,,,
EthnOther,0,1,0.041693,0.1998879,0,0,0,,,,,
Diabetes,0,1,0.0896308,0.285654,0,0,0,,,,,
Hypertension,0,1,0.2232337,0.4164164,0,0,0,,,,,
HeartDis,0,1,0.0928756,0.2902599,0,0,0,,,,,
Stroke,0,1,0.0193142,0.1376278,0,0,0,,,,,
COPD,0,1,0.052496,0.2230266,0,0,0,,,,,
Mood,0,1,0.0629128,0.2428077,0,0,0,,,,,
ActiveCancer,0,1,0.0316624,0.1751009,0,0,0,,,,,
Dementia,0,1,0.0067342,0.0817861,0,0,0,,,,,
Epilepsy,0,1,0.0059874,0.0771468,0,0,0,,,,,
