Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,7,7,9,10,9,12,13,14,15,12,14,17,19,18,22,22,24,20,30,22,31,27,30,33,33,44,43,48,39,38,50,46,44,58,71,67,98
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,7,8,8,12,12,14,17,17,22,25,24,25,22,24,29,32,28,34,34,37,32,45,39,49,49,55,59,55,69,81,68,62,76,85,80,78,90,146,112,139
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,8,10,11,13,17,19,21,24,26,29,33,32,35,31,35,40,44,40,48,49,48,49,68,59,68,73,80,86,80,97,114,88,92,115,113,114,114,124,196,167,198
96,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,8,10,13,15,15,21,24,26,30,33,38,40,40,43,41,47,52,54,52,62,64,65,61,83,78,83,91,100,114,103,118,134,110,118,151,144,152,142,155,226,208,277
95,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,7,10,13,16,18,19,25,30,31,37,41,44,47,46,52,52,59,65,66,65,76,76,77,77,97,93,99,109,115,138,121,144,163,136,145,188,179,176,183,210,255,237,319
94,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,6,8,11,15,19,21,22,29,36,38,43,48,52,54,55,61,63,70,77,78,80,89,89,97,95,113,113,117,124,134,166,147,166,189,159,179,225,223,196,217,242,300,292,398
93,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,5,7,9,13,18,22,25,26,33,41,44,48,55,59,61,62,73,75,81,88,89,92,100,99,111,112,131,131,135,144,147,184,170,196,217,189,222,255,257,251,269,277,345,334,435
92,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,6,8,11,15,21,26,29,30,38,46,50,55,61,66,71,70,81,85,94,101,102,105,116,111,128,129,151,147,159,164,168,210,196,221,251,216,255,279,286,276,316,334,385,364,516
91,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,6,9,12,16,23,29,33,34,45,52,57,61,69,76,80,79,93,96,107,112,114,117,130,126,143,149,170,163,178,184,197,231,222,252,280,247,279,316,308,302,349,386,420,403,562
90,1,1,1,1,1,1,1,1,1,1,3,3,3,4,5,5,7,10,14,18,25,32,37,39,50,58,64,68,78,84,88,87,102,107,119,122,129,130,146,142,163,167,188,179,199,206,221,265,245,275,305,278,301,348,340,343,386,422,448,438,618
89,1,1,1,1,1,1,1,1,2,2,3,3,3,5,5,6,8,11,15,20,29,35,41,43,54,65,71,75,87,95,97,99,112,120,134,135,142,141,163,155,181,187,210,199,218,229,244,287,274,306,332,301,340,374,371,385,413,460,490,469,650
88,1,1,1,1,1,1,1,2,2,2,3,3,3,5,6,6,9,12,16,22,31,39,45,47,58,72,78,82,95,105,108,108,122,130,149,152,158,154,179,172,201,207,229,217,242,252,269,311,295,334,369,335,371,410,394,418,449,490,537,507,722
87,1,1,1,1,1,1,1,2,2,2,3,3,4,5,6,7,9,13,18,24,34,43,48,53,64,79,86,90,104,115,119,118,134,145,163,163,172,178,198,186,220,227,248,235,265,272,292,340,321,362,392,363,391,440,429,463,493,516,578,588,758
86,1,1,1,1,1,1,2,2,2,2,4,4,4,6,7,8,10,15,20,26,36,47,53,57,69,85,94,97,114,129,129,128,146,160,175,177,187,196,215,199,241,250,274,255,290,295,314,360,344,391,422,403,414,474,465,502,515,561,619,650,806
85,1,1,1,1,1,1,2,2,2,3,4,4,4,6,7,9,10,16,22,27,39,52,57,62,75,93,104,106,124,141,138,141,160,176,191,191,200,210,234,216,261,273,298,274,310,320,342,380,370,417,459,435,444,500,506,532,545,644,669,694,857
