Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3,3,3,4,4,4,5,5,6,6,7,7,8,8,9,10,11,11,13,15,16,19,20,21,24,24,27,28,31,36,37,37,40,41,43,48,50,49,56,59,59,67,67,70,78,81,75,83,83,95,98,93,93,109,137,117,120,129,122,160,183
98,3,4,4,5,5,6,7,8,8,8,10,11,12,14,14,15,17,19,22,24,25,29,32,34,40,41,43,47,50,56,59,62,67,69,71,77,85,84,92,99,97,112,112,114,120,131,129,146,150,161,167,164,180,182,214,207,206,223,227,268,313
97,3,5,5,6,6,7,8,10,10,11,13,14,16,18,19,20,23,25,28,32,34,39,44,46,53,56,61,64,70,75,82,87,89,95,97,108,117,115,124,132,135,155,154,155,166,182,177,204,206,215,226,223,248,245,293,282,284,312,321,360,428
96,4,5,6,7,7,9,9,11,12,14,16,18,20,22,23,25,29,32,36,40,43,48,56,59,67,70,77,80,89,94,104,108,115,123,122,134,150,145,158,168,166,189,192,194,212,229,227,256,258,276,287,289,312,312,360,364,358,392,402,434,533
95,4,6,6,8,8,10,11,14,14,16,18,21,23,27,27,30,35,39,44,49,53,58,67,71,82,86,93,97,106,114,126,131,141,147,149,160,179,175,191,202,202,228,227,239,254,274,278,303,306,326,339,339,374,380,413,432,425,459,473,529,632
94,4,6,7,9,9,11,12,15,16,19,21,25,27,31,32,35,41,46,51,56,63,69,78,83,96,101,111,114,125,132,148,153,166,173,176,191,211,205,222,231,238,264,266,278,297,314,321,350,353,378,391,391,434,462,483,493,499,523,538,605,731
93,5,7,8,10,10,13,14,17,18,21,24,29,31,36,37,40,47,53,60,65,73,80,89,97,112,117,127,133,142,153,169,173,189,199,201,217,241,235,254,264,271,299,302,319,336,358,365,398,395,425,444,444,497,520,538,551,562,607,615,679,819
92,5,8,9,11,11,14,16,19,20,24,26,32,35,40,42,45,54,60,68,74,84,92,101,111,127,133,143,152,161,173,189,197,214,223,227,247,269,267,285,294,302,333,338,358,377,401,408,442,445,478,496,496,554,582,593,609,633,670,666,753,907
91,5,8,9,11,12,16,17,21,22,26,29,35,39,44,47,50,60,67,76,82,94,104,113,124,145,150,159,171,181,194,213,218,238,247,253,276,299,296,314,328,335,368,374,397,422,442,451,488,491,530,547,539,611,639,646,666,699,736,740,821,978
90,6,9,10,13,13,17,19,23,24,29,32,39,43,49,52,57,67,75,85,92,105,115,126,139,160,167,177,191,203,215,235,241,263,271,281,304,328,326,342,362,367,407,413,432,461,483,491,531,538,575,597,587,662,698,702,725,762,785,800,884,1050
89,6,9,11,14,15,18,20,24,27,32,36,42,48,54,58,62,74,83,94,102,116,127,139,154,175,183,194,211,223,238,258,264,291,296,307,330,358,353,377,395,399,436,449,467,499,521,533,574,583,617,643,635,712,743,758,784,825,844,868,950,1125
88,6,10,12,14,16,20,22,27,29,34,39,46,52,59,63,69,81,92,105,115,128,141,154,170,193,201,211,229,245,258,281,287,314,323,334,358,386,386,405,429,431,473,483,504,536,558,572,613,623,662,691,683,761,804,805,844,883,906,928,1007,1194
87,6,10,12,15,17,21,24,29,32,37,43,51,56,64,69,75,89,101,115,126,139,153,167,185,208,218,229,249,265,281,303,308,336,352,361,388,414,417,435,460,464,508,516,540,574,598,615,655,669,709,737,727,804,851,852,895,939,960,983,1074,1258
86,7,11,13,16,19,22,25,31,34,40,47,55,61,70,75,83,96,110,126,136,150,167,180,200,226,234,249,268,287,301,328,331,361,376,388,417,441,445,467,494,496,543,551,577,612,635,653,696,712,753,782,776,849,896,900,944,992,1013,1046,1128,1316
