Covariate,Beta
Age_rcs1_c,0.013782701
Age_rcs2_c,-0.010380212
Age_rcs3_c,0.164405856
Age_rcs4_c,-0.230387244
Sex_cat2_1_c,0.348703798
BB6_cat5_1_c,0.061416564
BB6_cat5_2_c,0.030170815
BB6_cat5_3_c,-0.013016738
BB6_cat5_4_c,0.105422761
J1A_cat2_1_c,-0.134119779
J1B_cat2_1_c,0.298871454
J1C_cat2_1_c,0.050621722
J1D_cat2_1_c,-0.116110847
J1DE_cat2_1_c,-0.120870975
J1K_cat2_1_c,-0.646153261
J1L_cat2_1_c,-0.264741547
K2E_cat2_1_c,0.309740798
K3D_cat2_1_c,0.120167693
K3E_cat2_1_c,0.28384419
L1A_cat2_1_c,0.446900971
L2C_cat2_1_c,0.216308695
L2B_cat2_1_c,0.38320061
B2B_cat2_1_c,0.092461678
H3_cat2_1_c,0.340417381
IADL_cat7_1_c,0.020441044
IADL_cat7_2_c,0.188269503
IADL_cat7_3_c,0.190729007
IADL_cat7_4_c,0.270610679
IADL_cat7_5_c,0.496130512
IADL_cat7_6_c,0.678488749
ADL_cat7_1_c,0.115525155
ADL_cat7_2_c,0.270163171
ADL_cat7_3_c,0.362990098
ADL_cat7_4_c,0.689472089
ADL_cat7_5_c,0.894444535
ADL_cat7_6_c,1.284884107
P4A_cat4_1_c,0.121821282
P4A_cat4_2_c,0.253539405
P4A_cat4_3_c,0.321651338
P4B_cat4_1_c,0.09396142
P4B_cat4_2_c,0.125205092
P4B_cat4_3_c,0.136180044
Renal_cat4_1_c,0.263889897
Renal_cat4_2_c,0.347745221
Renal_cat4_3_c,0.495525423
Oxygen_cat6_1_c,0.200798826
Oxygen_cat6_2_c,0.462298377
Oxygen_cat6_3_c,0.080049296
Oxygen_cat6_4_c,0.101131641
Oxygen_cat6_5_c,0.423418277
Cancer_cat6_1_c,1.165482083
Cancer_cat6_2_c,0.708415335
Cancer_cat6_3_c,0.778551493
Cancer_cat6_4_c,1.336168434
Cancer_cat6_5_c,1.215139114
A2_cat5_1_c,-0.099533067
A2_cat5_2_c,-0.290809339
A2_cat5_3_c,0.124313155
A2_cat5_4_c,-0.057585648
A1_cat7_1_c,0.010679492
A1_cat7_2_c,-0.0104816
A1_cat7_3_c,-0.022371264
A1_cat7_4_c,-0.074511641
A1_cat7_5_c,-0.09710109
A1_cat7_6_c,-0.10835343
K8E_cat2_1_c,1.166663692
