Name,displayName,displayValue,TYPE,variableUse,variableType,Units,ValidCat,MPoRTv1,SPoRT,CVDPoRT_R,DemPoRT,MPoRTV2_F,MPoRTV2_R,Final_male,Final_female,Recommended,Mean_male,Mean_female,UserMin_male,UserMin_female,UserMax_male,UserMax_female,PctlLow,PctlUpp,H0t,RCS_knot,s,HighValue,OutlierTreatmentMethod,InvalidValueTreatment,MissingValueReplacement,MissingValueTreatment,Notes
A1_cat7_1_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_cat7_2_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_cat7_3_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_cat7_4_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_cat7_5_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_cat7_6_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_cat5_1_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_cat5_2_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_cat5_3_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_cat5_4_c,,,ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL_cat7_1_c,,,FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL_cat7_2_c,,,FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL_cat7_3_c,,,FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL_cat7_4_c,,,FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL_cat7_5_c,,,FUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
